wall_time,state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
1789591977.1908414,STATIC_5,5,-6813.0,1618.0,3725.0,-41.8945,-1.76849,-32.9346
1789591977.2913778,STATIC_5,5,-6815.0,1616.0,3744.0,-41.9678,-1.80359,-33.0566
1789591977.3913884,STATIC_5,5,-6816.0,1620.0,3740.0,-41.9434,-1.7868,-32.9346
1789591977.4991817,STATIC_5,5,-6809.0,1617.0,3723.0,-41.8945,-1.75629,-33.1055
1789591977.6099775,STATIC_5,5,-6809.0,1626.0,3723.0,-41.9434,-1.68915,-33.0078
1789591977.7103052,STATIC_5,5,-6809.0,1626.0,3734.0,-41.9678,-1.48468,-32.6904
1789591977.8103669,STATIC_5,5,-6809.0,1634.0,3725.0,-41.9678,-1.67084,-32.8857
1789591977.9292498,STATIC_5,5,-6797.0,1607.0,3712.0,-41.9189,-1.46255,-32.7148
1789591978.0303662,STATIC_5,5,-6803.0,1613.0,3746.0,-41.9434,-1.62201,-32.8857
1789591978.1330872,STATIC_5,5,-6784.0,1609.0,3739.0,-42.0166,-1.53351,-32.5684
1789591978.233749,STATIC_5,5,-6794.0,1614.0,3747.0,-41.8945,-1.63727,-32.9346
1789591978.3343005,STATIC_5,5,-6789.0,1620.0,3717.0,-41.9434,-1.40915,-32.7148
1789591978.4344866,STATIC_5,5,-6791.0,1607.0,3723.0,-41.9434,-1.67694,-33.0322
1789591983.856615,STATIC_6,6,-6381.0,-1284.0,3473.0,-32.3242,17.2607,-30.6641
1789591983.957364,STATIC_6,6,-6393.0,-1277.0,3466.0,-32.2998,17.1875,-30.7373
1789591984.0573647,STATIC_6,6,-6372.0,-1285.0,3423.0,-32.3242,17.2363,-30.6641
1789591984.1759465,STATIC_6,6,-6375.0,-1276.0,3456.0,-32.3975,17.3584,-30.4932
1789591984.276392,STATIC_6,6,-6380.0,-1290.0,3444.0,-32.3486,17.2974,-30.7373
1789591984.376395,STATIC_6,6,-6382.0,-1300.0,3441.0,-32.3242,17.395,-30.5664
1789591984.4860027,STATIC_6,6,-6402.0,-1291.0,3444.0,-32.3486,17.2363,-30.6885
1789591984.5930946,STATIC_6,6,-6396.0,-1297.0,3419.0,-32.3486,17.395,-30.4443
1789591984.6948192,STATIC_6,6,-6380.0,-1291.0,3447.0,-32.3486,17.2363,-30.5908
1789591984.7953467,STATIC_6,6,-6370.0,-1289.0,3434.0,-32.3242,17.3828,-30.4688
1789591984.895406,STATIC_6,6,-6394.0,-1282.0,3447.0,-32.3486,17.2485,-30.5664
1789591984.995998,STATIC_6,6,-6401.0,-1286.0,3451.0,-32.3486,17.1631,-30.6641
1789591985.1138685,STATIC_6,6,-6377.0,-1290.0,3470.0,-32.2998,17.1265,-30.835
1789591985.2143972,STATIC_6,6,-6375.0,-1281.0,3442.0,-32.3486,17.2363,-30.6396
1789591985.3144019,STATIC_6,6,-6377.0,-1298.0,3463.0,-32.3486,17.2241,-30.6396
1789591985.433098,STATIC_6,6,-6381.0,-1293.0,3473.0,-32.3242,17.2363,-30.6396
